ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2013/054253,Unspecified,,"(-4.59383601205, 39.13668770810)",VANGA,LUNGALUNGA,KWALE,,,,,,,,,,,,,,,,,,,0
2013/054557,Unspecified,,"(-4.43763300000, 39.51327200000)",,MSAMBWENI,KWALE,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/054836,Unspecified,,"(-4.43763300000, 39.51327200000)",,MSAMBWENI,KWALE,1432821293,4298463879,07/10/2013 12:00:00 AM,07/25/2013 12:00:00 AM,01/08/2013 12:00:00 AM,07/20/2015 12:00:00 AM,,23 months 19 days,23 months,Rehabilitation Of Bachuma Gate-Maji Ya Chumvi (A109),THE ROAD PROJECT IS APPROXIMATELY 53KM LONG SITUATED IN KWALE COUNTY,PROVIDE ACCESS TO ECONOMIC AND SOCIAL SERVICES SERVICES,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2014/055098,Unspecified,,"(-4.43763300000, 39.51327200000)",,MSAMBWENI,KWALE,,,,,,,,,,,,,,,,,,,0
2012/053881,Unspecified,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,16400000000,18600000000,04/06/2011 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 28 days,47 months,Mombasa Port Area Road Development Project,Constuction of By Pass (dongo Kundu),Improve traffic flow,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2012/053891,Unspecified,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,19155482020,22986578426,04/11/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,07/20/2016 12:00:00 AM,,60 months 19 days,60 months,Mombasa Port Development (Phase I),Expansion of the port through dvelopment of a new container Terminal,To enhance the container handling capacity at the Port and to provide handling equipment,020400 - MarIne Transport; 020600 - Government Clearing Services,Ministry of Transport and Infrastructure,Dredging of Mombasa Port.,109 - Ministry of Transport and Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2012/053299,Kwale District,"(-4.14000000000, 39.15100000000)","(-4.10654192360, 39.61290832880)",PUMA,KINANGO,KWALE,,9108527,03/22/2010 12:00:00 AM,04/13/2010 12:00:00 AM,,12/22/2014 12:00:00 AM,,53 months 0,53 months,The Management Of The Demonstrating Project Of Integrated Planning And Management To Sustainable Tourism At The Mombasa Coast,The project has be developed to demostrate best practices and strategies to reduce the degradation of Marine and ciastal environments of transboundary significanceand enhance sustinable tourism practices,"The objectives are:-
-To capture Best Available practices and technologies (BAPs) and BATs) for contaminant reduction and sustainable collaborative tourism investments
-to develop and implement mechanisms for sustainable governance and management that me",100200 - Environment Management and Protection,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2012/053299,Kilifi District,"(-3.17500000000, 39.68400000000)","(-4.10654192360, 39.61290832880)",ADU,MAGARINI,KILIFI,,9108527,03/22/2010 12:00:00 AM,04/13/2010 12:00:00 AM,,12/22/2014 12:00:00 AM,,53 months 0,53 months,The Management Of The Demonstrating Project Of Integrated Planning And Management To Sustainable Tourism At The Mombasa Coast,The project has be developed to demostrate best practices and strategies to reduce the degradation of Marine and ciastal environments of transboundary significanceand enhance sustinable tourism practices,"The objectives are:-
-To capture Best Available practices and technologies (BAPs) and BATs) for contaminant reduction and sustainable collaborative tourism investments
-to develop and implement mechanisms for sustainable governance and management that me",100200 - Environment Management and Protection,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/051918,Bungoma,"(0.74900000000, 34.64100000000)","(-4.06168484425, 39.66225963250)",MUKUYUNI,KABUCHAI,BUNGOMA,87968006,113101726,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,03/03/2016 12:00:00 AM,09/12/2016 12:00:00 AM,95 months 8 days,95 months,Nutrition And Care For Hiv/Aids Affected People,PROVISION OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA,PROVISIONS OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA SO THAT THEY ARE ABLE TO TAKE THEIR A.R.V s DRUGS,040200 - Curative Health Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1081 - Ministry of Health,Ongoing,Health,0
2012/053953,Nation Wide - Kenya,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,47598750,63465000,12/31/2011 12:00:00 AM,01/31/2012 12:00:00 AM,,07/31/2017 12:00:00 AM,,66 months 0,66 months,Rural Electrification Project,Supply and construction of 19991 km of 33kV medium voltage distribution lines and 591 units of 33/0.415 kVA distribution transformers and 709 km of 415 V low voltage distribution lines.,Electrification of 591 centres and about 35450 households in 66 constituencies accross Kenya.,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2013/054219,Unspecified,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,,,,,,,,,,,,,,,,,,,0
2013/054246,Unspecified,,"(-4.34104483883, 39.55379750320)",UKUNDA,MSAMBWENI,KWALE,,,,,,,,,,,,,,,,,,,0
2013/054246,Unspecified,,"(-4.31236606840, 39.54258020430)",GOMBATO BONGWE,MSAMBWENI,KWALE,,,,,,,,,,,,,,,,,,,0
2010/052226,Unspecified,,"(-4.24723400000, 39.43447000000)",,MATUGA,KWALE,1951030929,2341237113,03/30/2009 12:00:00 AM,06/30/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,78 months 1 day,78 months,Miti Mingi Maisha Bora- Phase II,"ENSURE THE THE FOREST SECTOR CONTRIBUTES EFFECTIVELY AND SUSTAINABLY TO IMPROVE THE LIVES OF THE POOR, RESTORING THE ENVIRONMENT AND AIDING THE ECONOMIC RECOVERY AND GROWTH OF KENYA, WITHIN THE CONTEXT OF VISION 2030.","TO REDUCE POVERTY THROUGH ENSURING THE THE FOREST SECTOR CONTRIBUTES EFFECTIVELY AND SUSTAINABLY TO IMPROVE THE LIVES OF THE POOR,RESTORING THE ENVIRONMENT AND AIDING THE ECONOMIC RECOVERY AND GROWTH OF KENYA, WITHIN THE CONTEXT OF VISION 2030. WORKING T",100100 - General Administration Planning and Support Services,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 116 - MOAL&F - Kenya Forestry Service; 1101 - State Department for Environment  and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2014/055036,Unspecified,,"(-4.24723400000, 39.43447000000)",,MATUGA,KWALE,,,,,,,,,,,,,,,,,,,0
2014/055078,Unspecified,,"(-4.24723400000, 39.43447000000)",,MATUGA,KWALE,,,,,,,,,,,,,,,,,,,0
2010/051918,Busia,"(0.41300000000, 34.21400000000)","(-3.85079898141, 39.77527247430)",BUSIBWABO,MATAYOS,BUSIA,87968006,113101726,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,03/03/2016 12:00:00 AM,09/12/2016 12:00:00 AM,95 months 8 days,95 months,Nutrition And Care For Hiv/Aids Affected People,PROVISION OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA,PROVISIONS OF NUTRITIOUS FOOD TO HIV/AIDS AFFECTED PERSONS IN KENYA SO THAT THEY ARE ABLE TO TAKE THEIR A.R.V s DRUGS,040200 - Curative Health Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1081 - Ministry of Health,Ongoing,Health,0
2014/054736,Unspecified,,"(-4.22490527152, 38.94654232700)",NDAVAYA,KINANGO,KWALE,,,,,,,,,,,,,,,,,,,0
2010/052263,Nation Wide - Kenya,,"(-4.17719984831, 39.59939027380)",WAA,MATUGA,KWALE,2142000000,2142000000,02/23/2009 12:00:00 AM,07/01/2010 12:00:00 AM,,06/30/2016 12:00:00 AM,,71 months 29 days,71 months,Community Empowerement And Institutional Support Project (CEISP),"The project comprises of two components;
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f",The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.,070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2012/053900,Unspecified,,"(-4.11735732378, 39.64413511550)",LIKONI,LIKONI,MOMBASA,18959947,18959947,04/04/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,08/04/2016 12:00:00 AM,,49 months 2 days,49 months,Rehabilitation Of Likoni Sub District Hospital (Kiddp),This project entails construction of a maternity wards and supply of medical equipment in Likoni Sub District Hospital. The Project will be supported under Kenya Italy Debt for Development Programme (KIDDP),The main Objective of the project is to rehabilitateLikoni Sub District Hospital to enhance its capacity and service delivery to the Kenyan Citizen.,040200 - Curative Health Services,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Health,0
2013/054555,Unspecified,,"(-4.11357543190, 39.41913847010)",KINANGO,KINANGO,KWALE,1892300,2838450,11/28/2013 12:00:00 AM,11/28/2013 12:00:00 AM,,12/31/2015 12:00:00 AM,,25 months 3 days,25 months,Extractive Industries For Sustainable Development In Kenya,"Discovery of oil and minerals in Kenya needs the extractive sectors of Kenya be governed in more  participatory, equitable and sustainable  ways  to ensure  that they  contribute  to peace  and sustainable  human development.",PEACE AND SUSTAINABLE HUMAN DEVELOPMENT.,071900 - Economic and Financial Policy Formulation and Management,Unspecified,Unspecified,1071 - The National Treasury; 1191 - Ministry of Mining,Planned,Public Administration and International Relations (PAIR),0
2014/055047,Unspecified,,"(-4.09660300000, 39.63364200000)",,LIKONI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2014/055086,Unspecified,,"(-4.09660300000, 39.63364200000)",,LIKONI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2014/055380,Unspecified,,"(-4.09660300000, 39.63364200000)",,THIKA TOWN,KIAMBU,,,,,,,,,,,,,,,,,,,0
2012/053891,Unspecified,,"(-4.06010276921, 39.61260115880)",PORT REITZ,CHANGAMWE,MOMBASA,19155482020,22986578426,04/11/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,07/20/2016 12:00:00 AM,,60 months 19 days,60 months,Mombasa Port Development (Phase I),Expansion of the port through dvelopment of a new container Terminal,To enhance the container handling capacity at the Port and to provide handling equipment,020400 - MarIne Transport; 020600 - Government Clearing Services,Ministry of Transport and Infrastructure,Dredging of Mombasa Port.,109 - Ministry of Transport and Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2013/054070,Unspecified,,"(-4.05400700000, 39.66201500000)",,MVITA,MOMBASA,3150000000,3780000000,12/18/2012 12:00:00 AM,01/09/2013 12:00:00 AM,,02/13/2018 12:00:00 AM,,61 months 4 days,61 months,"Support To Enhancement Of Quality And Relevance In Higher Education, Science And Technology","The overall objective of the project is to contribute to high quality, education and training in STI.","(i)     Improving quality and relevance of STI education programs
(iii)   Strengthening human capital development for STI programs
(iii)   Improving quality of applied knowledge and skills in environmental and natural resource management
(iv)  Enhancing",050400 - University Education,Ministry of Education,Improved ST and I capacities and capabilities to support the key national transformation areas.,106 - Ministry of Education; 1061 - State Department for Education,Ongoing,Education,0
2011/053251,Unspecified,,"(-4.05400700000, 39.66201500000)",,MVITA,MOMBASA,,,,,,,,,,,,,,,,,,,0
2014/055416,Unspecified,,"(-4.05374072164, 39.68757090530)",FRERE TOWN,NYALI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2013/054093,Kenya,,"(-4.05255473161, 39.62153286520)",KIPEVU,CHANGAMWE,MOMBASA,117500000,130500000,03/22/2013 12:00:00 AM,02/01/2013 12:00:00 AM,,06/30/2018 12:00:00 AM,,64 months 29 days,64 months,Economic Empowerment Programme,"The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl","The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl",070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Planned,Public Administration and International Relations (PAIR),0
2014/054988,Unspecified,,"(-4.05255473161, 39.62153286520)",KIPEVU,CHANGAMWE,MOMBASA,4333333333,26000000000,06/01/2012 12:00:00 AM,11/07/2013 12:00:00 AM,,08/31/2018 12:00:00 AM,,57 months 24 days,57 months,"THE PROJECT ON MASTER PLAN FOR DEVELOPMENT OF DONGO KUNDU, MOMBASA SPECIAL ECONOMIC ZONE","MASTER PLAN FOR DEVELOPMENT OF DONGO KUNDU, MOMBASA SPECIAL ECONOMIC ZONE","TO ATTAIN MASTER PLAN FOR DEVELOPMENT OF DONGO KUNDU, MOMBASA SPECIAL ECONOMIC ZONE",030400 - Cooperative Development and Management,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2012/053881,Unspecified,,"(-4.04038055944, 39.58244595440)",MIRITINI,JOMVU,MOMBASA,16400000000,18600000000,04/06/2011 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 28 days,47 months,Mombasa Port Area Road Development Project,Constuction of By Pass (dongo Kundu),Improve traffic flow,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2014/054942,Unspecified,,"(-4.03274900000, 39.70406000000)",,NYALI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2012/054002,Unspecified,,"(-4.02935200000, 39.61519400000)",,CHANGAMWE,MOMBASA,90000000,90000000,10/27/2006 12:00:00 AM,07/01/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 29 days,47 months,Mariakani-Kaloleni Water Supply Project,TO PROVIDE CLEAN AND SAFE WATER UNDER THE KENYA-ITALY DEBT DEVELOPMENT PROGRAMME,TO PROVIIDE WATER TO ALL THE RESIDENTS OF MARIAKANI-KALOLENI,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.,Pipelined,"Environmental Protection, Water and Natural Resources",0
2013/054089,Unspecified,,"(-4.02935200000, 39.61519400000)",,CHANGAMWE,MOMBASA,2467532467,2597402597,01/23/2012 12:00:00 AM,01/23/2012 12:00:00 AM,,12/29/2017 12:00:00 AM,,71 months 6 days,71 months,Primary And Secondary Education In Poor Areas (2010 65 838),The project will assist children from poor areas to have access to formal education,To have accces to quality education,010600 - General Administration Planning and Support Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1111 - Ministry of Land Housing and Urban Development,Ongoing,Unspecified,0
2013/054295,Unspecified,,"(-4.02935200000, 39.61519400000)",,CHANGAMWE,MOMBASA,1687000000,2530000000,10/07/2011 12:00:00 AM,07/01/2012 12:00:00 AM,,06/30/2015 12:00:00 AM,,35 months 29 days,35 months,Programme Development Of The Health Sector Support To Health Finanacing Phase 3 &Nbsp;(2010 65 853),"FINANCING OF THE VOUCHERS FOR MATERNITY CARE, FAMILY PLANNING AND RELATED SERVICES WITHIN THE FRAMEWORK OF THE OUTPUT BASED APPROACH",TO REDUCE MATERNAL DEATHS DURING PREGNANCY TO 0%,040100 - Preventive & Promotive Health Services,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Health,0
2013/054557,Unspecified,,"(-4.02935200000, 39.61519400000)",,CHANGAMWE,MOMBASA,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055409,Unspecified,,"(-4.02935200000, 39.61519400000)",,CHANGAMWE,MOMBASA,700000000,700000000,11/05/2014 12:00:00 AM,12/01/2014 12:00:00 AM,,06/30/2018 12:00:00 AM,,42 months 29 days,42 months,Development of Fish Quality Laboratories,To competitiveness of Kenyan fish through laboratory testing,To improve the Quality of Fish through laboratory testing,011100 - Fisheries Development and Management,Unspecified,Unspecified,1163 - State Department for Fisheries,Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055379,Unspecified,,"(-4.02935200000, 39.61519400000)",,AINABKOI,UASIN GISHU,,,,,,,,,,,,,,,,,,,0
2012/053369,Unspecified,,"(-4.00986354923, 39.59577453680)",JOMVU KUU,JOMVU,MOMBASA,6753355705,8104026846,12/22/2012 12:00:00 AM,12/31/2012 12:00:00 AM,06/12/2007 12:00:00 AM,12/31/2018 12:00:00 AM,,120 months 25 days,120 months,Judicial Preformance Improvement Project (JPIP),"Improve the performance of judiciary to provide its services in the project areas in a more effective and accountable manner.
Project has four components:
i) Court Administration and Case Management
ii) Judiciary Training and Staff Development
iii) Court",To improve the performance of the Judiciary to provide its services in the Project areas in a more effective and accountable manner.,060700 - Constitutional Reforms,Office of The Attorney General and Department of Justice,Constitutional Reform,1261 - The Judiciary,Ongoing,"Governance, Justice, Law and Order (GJLOS)",0
2013/054305,Unspecified,,"(-4.00475509261, 39.73060533680)",SHANZU,KISAUNI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2014/055111,Unspecified,,"(-3.98213200000, 39.10558900000)",,KINANGO,KWALE,,,,,,,,,,,,,,,,,,,0
2013/054308,Unspecified,,"(-3.97386500000, 39.68587600000)",,KISAUNI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2014/055089,Unspecified,,"(-3.97386500000, 39.68587600000)",,KISAUNI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2014/055099,Unspecified,,"(-3.97386500000, 39.68587600000)",,KISAUNI,MOMBASA,,,,,,,,,,,,,,,,,,,0
2012/053903,Machakos,"(-1.51700000000, 37.26700000000)","(-2.41678433043, 37.84946374600)",MACHAKOS CENTRAL,MACHAKOS TOWN,MACHAKOS,350000000,350000000,05/02/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 28 days,47 months,Rural Water Supply Phase Ii,Improvement of rural water supply,Improvement of rural water supply,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/051716,Malindi,,"(-3.96656749201, 39.55976951220)",RABAI/KISURUTINI,RABAI,KILIFI,7496000000,9109000000,06/02/2010 12:00:00 AM,07/01/2010 12:00:00 AM,,06/30/2017 12:00:00 AM,,83 months 29 days,83 months,Rabai - Malindi - Garsen - Lamu Transmission Line,"320km 220kV, 132/33kV 3 No 23 MVA sub-stations at Malindi, Garsen and Lamu","To reduce system losses, improve supply quality and reliability; increase access and connectivity.",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum; 115 - MOE&P - Kenya Electricity Transmission Company Limited (KETRACO),Completed,"Energy, Infrastructure and ICT",0
2012/054027,Unspecified,,"(-3.90646400000, 39.60762600000)",,RABAI,KILIFI,,1237944,10/27/2006 12:00:00 AM,07/10/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 20 days,59 months,Revitalization of Mkuajuni Youth Polytechnic,construction of village polytechbnics,to ensure the youth are equiped with survival skills,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2014/054751,Unspecified,,"(-3.85983881209, 39.47052784460)",MARIAKANI,KALOLENI,KILIFI,,,,,,,,,,,,,,,,,,,0
2010/052504,Unspecified,,"(-3.85079898141, 39.77527247430)",JUNJU,KILIFI SOUTH,KILIFI,1900000000,1900000000,06/29/2010 12:00:00 AM,10/01/2010 12:00:00 AM,01/10/2010 12:00:00 AM,06/30/2015 12:00:00 AM,,59 months 29 days,59 months,East Africa Public Health Laboratory Network Project (EAPLHP),"REHABILITATION,EXPANSION AND CONSTRUCTION OF 5 SATELITE LABORATORIES TO EXPAND DIAGNOSTIC SERVICES
DEVELOP CAPACITYOF LABORATORY PERSONEL
CARRYING OUT OPERATIONAL REASEARCH AND FACILITATE KNOWLEDGE SHARING","ESTABLISH A NETWORK OF EFFICIENT, HIGH QUALITY,ACCESSIBLE PUBLIC HEALTH LABORATORIES FOR THE DIAGNOSIS AND SURVAILLANCE OF TUBERCULOSIS AND OTHER COMMUNICABLE DISEASES",040100 - Preventive & Promotive Health Services,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Health,0
2011/053227,Unspecified,,"(-3.82902007209, 39.12480188300)",MACKINNON ROAD,KINANGO,KWALE,4500000,15000000,07/01/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,06/30/2014 12:00:00 AM,,35 months 29 days,35 months,Mackinon Settlement Scheme,"Opening up of 24KM access road , construction of a water pan for water conservation and a dam","- To improve physical  infrastructure to enhance plot occupancy
- To provide sustainable settlements on agricultural viable land
-To improve food security",010100 - Land Policy and Planning,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/054751,Unspecified,,"(-3.81741073164, 39.71717493040)",MWARAKAYA,KILIFI SOUTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2012/054026,Unspecified,,"(-3.81130959531, 38.57484250420)",Kaloleni,Kaloleni,Kilifi,,4688845,10/27/2006 12:00:00 AM,07/01/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 29 days,59 months,Mariakani Youth Polytechnic,construction and rehabilitation of village polytechnics,training of the youth to enable them be self suffienct in survival skills,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2014/054874,Unspecified,,"(-3.76284100000, 39.52653100000)",,KALOLENI,KILIFI,766593202,2299779605,08/03/2012 12:00:00 AM,07/18/2012 12:00:00 AM,,07/18/2014 12:00:00 AM,,24 months 0,24 months,Kaloleni Kilifi,This project road is situated in kilifi County and measures 35km in length. It involves upgrading the road to bitumen standards and maintenance of works during construction..,To open up the area for efficient trade and commerce.,020200 - Road Transport,Unspecified,Unspecified,133 - MOR - Kenya National Highway Authority,Ongoing,"Energy, Infrastructure and ICT",0
2014/054740,Unspecified,,"(-3.76284100000, 39.52653100000)",,KALOLENI,KILIFI,,,,,,,,,,,,,,,,,,,0
2010/052226,Unspecified,,"(-3.72170800000, 38.33891500000)",,MWATATE,TAITA TAVETA,1951030929,2341237113,03/30/2009 12:00:00 AM,06/30/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,78 months 1 day,78 months,Miti Mingi Maisha Bora- Phase II,"ENSURE THE THE FOREST SECTOR CONTRIBUTES EFFECTIVELY AND SUSTAINABLY TO IMPROVE THE LIVES OF THE POOR, RESTORING THE ENVIRONMENT AND AIDING THE ECONOMIC RECOVERY AND GROWTH OF KENYA, WITHIN THE CONTEXT OF VISION 2030.","TO REDUCE POVERTY THROUGH ENSURING THE THE FOREST SECTOR CONTRIBUTES EFFECTIVELY AND SUSTAINABLY TO IMPROVE THE LIVES OF THE POOR,RESTORING THE ENVIRONMENT AND AIDING THE ECONOMIC RECOVERY AND GROWTH OF KENYA, WITHIN THE CONTEXT OF VISION 2030. WORKING T",100100 - General Administration Planning and Support Services,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 116 - MOAL&F - Kenya Forestry Service; 1101 - State Department for Environment  and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2014/055203,Unspecified,,"(-3.72170800000, 38.33891500000)",,MWATATE,TAITA TAVETA,8125000000,9750000000,07/15/2013 12:00:00 AM,07/16/2013 12:00:00 AM,,12/31/2018 12:00:00 AM,,65 months 15 days,65 months,UPGRADING OF MWATATE-TAVETA ROAD PROJECT (MULTINATIONAL: ARUSHA-HOLILI/TAVETA-VOI ROAD PROJECT),"This project entails development of a priority road corridor between Arusha in Tanzania and Voi in Kenya, and onwards to Mombasa Port. The project has the following components as described below:
ΓÇóCivil Works ΓÇô Involves construction of Mwatate-Taveta","The objective of the project is to develop the priority road corridor between Arusha in Tanzania and Voi, and onward to Mombasa Port in Kenya in order to reduce transport costs and facilitate cross-border trade, enhance tourism and improve accessibility",020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2014/054748,Unspecified,,"(-3.63657665318, 39.68084370060)",JARIBUNI,GANZE,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055132,Unspecified,,"(-3.61032360856, 38.46128356760)",MWATATE,MWATATE,TAITA TAVETA,,,,,,,,,,,,,,,,,,,0
2014/054769,Unspecified,,"(-3.60479914366, 38.22055213050)",BURA,MWATATE,TAITA TAVETA,,,,,,,,,,,,,,,,,,,0
2013/054463,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,60000000,349781429,02/05/2013 12:00:00 AM,02/19/2013 12:00:00 AM,,02/05/2015 12:00:00 AM,,23 months 14 days,23 months,Library Phase One,"Works generally consists of excavations, substructure, R.C. superstructure works, walling, doors, windows, finishes with ceramic tiles in floor surfaces, fictures and fittings, external drainage, civil works and associated mechanical and electrical insta","To facilitate teaching, learning and Research.",050400 - University Education,Ministry of Education,Improved ST and I capacities and capabilities to support the key national transformation areas.,106 - MOES&T - Pwani University,Ongoing,Education,0
2013/054515,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055151,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055152,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
