ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2013/054545,Unspecified,,,,,,50000000,50000000,07/01/2013 12:00:00 AM,07/01/2013 12:00:00 AM,,06/30/2018 12:00:00 AM,,47 months 29 days,47 months,Technical Assistance To Ministry,"The Government of Kenya (GoK) received a loan from Agence Francaise de Development (AFD) for the energy generation and transmission in Kenya. Part of the procceds was applied for the consultancy services to upgrade and develop a Power Master Plan, for po","The objective of this project is to upgrade the energy generation and transmission plans that are currently prepared in Kenya, in order to:
 -Propose a strategy of development consistent with GoK objectives
 -Bring the plans to the level of a Generation",021400 - Alternative Energy Technologies,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Planned,"Energy, Infrastructure and ICT",0
2013/054546,Unspecified,,,,,,88412300,88412300,05/16/2013 12:00:00 AM,07/01/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,11 months 29 days,11 months,Judges And Magistrates Vetting Board,Capacity building of judges and magistrates,Capacity building of judges and magistrates,060800 - Legal Education and Policy,Unspecified,Unspecified,1251 - Office of The Attorney General and Department of Justice,Planned,"Governance, Justice, Law and Order (GJLOS)",0
2013/054547,Unspecified,,,,,,100000000,100000000,05/08/2013 12:00:00 AM,07/01/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,11 months 29 days,11 months,Kenya National Integrated Civic Education,Civic education to Kenyans,Civic education to Kenyans,060800 - Legal Education and Policy,Unspecified,Unspecified,1251 - Office of The Attorney General and Department of Justice,Planned,"Governance, Justice, Law and Order (GJLOS)",0
2013/054548,Unspecified,,,,,,9000000,20000000,05/16/2013 12:00:00 AM,04/01/2013 12:00:00 AM,,06/30/2016 12:00:00 AM,,38 months 29 days,38 months,Seminar On Geographic Information Science,Seminar on Geographic Information Science,Capacity building on Geographic Information Science,010100 - Land Policy and Planning,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2013/054550,Unspecified,,,,,,85000000,85000000,10/25/2013 12:00:00 AM,11/01/2013 12:00:00 AM,01/11/2013 12:00:00 AM,06/30/2014 12:00:00 AM,,7 months 29 days,7 months,Emergency Assistance To Address The Damages & Losses Caused By The August 2013 Inferno At Jkia,Assistance to be provided to JKIA is the supply and Installation of security screening equipment,To contribute to a return to normancy of services at JKIA by improving the security checking sysstem,020500 - Air Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2013/054551,Unspecified,,,,,,1700000,9900000,07/01/2009 12:00:00 AM,10/01/2009 12:00:00 AM,,06/30/2017 12:00:00 AM,,92 months 29 days,92 months,Technical Support To Microfinance Sector-Ministry Of Finance,TECHNICAL SUPPORT TO MICROFINANCE SECTOR SUPPORT UNDER THE FINANCING OF AFD,TO ENSURE EFFICIENT USE OF FUNDS,071800 - Public Financial Management,Unspecified,Unspecified,1071 - The National Treasury,Ongoing,Public Administration and International Relations (PAIR),0
2013/054554,Unspecified,,,,,,4300000000,21500000000,09/09/2013 12:00:00 AM,11/01/2013 12:00:00 AM,01/11/2013 12:00:00 AM,03/31/2018 12:00:00 AM,,52 months 30 days,52 months,National Safety Net Programme (NSNP),ENABLE GOVT IMPLEMENT NATIONAL SOCIAL SAFETY POLICY,SUPPORT POOR AND VULNERABLE,071800 - Public Financial Management; 091000 - General Administration Planning and Support Services,Ministry of Labour Social Security and Services,Development of the National Human Resource Database,1071 - The National Treasury,Ongoing,"Social Protection, Culture and Recreation",0
2013/054555,Unspecified,,,,,,1892300,2838450,11/28/2013 12:00:00 AM,11/28/2013 12:00:00 AM,,12/31/2015 12:00:00 AM,,25 months 3 days,25 months,Extractive Industries For Sustainable Development In Kenya,"Discovery of oil and minerals in Kenya needs the extractive sectors of Kenya be governed in more  participatory, equitable and sustainable  ways  to ensure  that they  contribute  to peace  and sustainable  human development.",PEACE AND SUSTAINABLE HUMAN DEVELOPMENT.,071900 - Economic and Financial Policy Formulation and Management,Unspecified,Unspecified,1071 - The National Treasury; 1191 - Ministry of Mining,Planned,Public Administration and International Relations (PAIR),0
2013/054556,Unspecified,,,,,,86000000,86000000,10/23/2013 12:00:00 AM,10/23/2013 12:00:00 AM,,10/23/2015 12:00:00 AM,,24 months 0,24 months,Capacity Building Of The Supreme Court Of Kenya,"SUPPORT TO THE JUDICIARY TRAININMG INSTITUTE TO DEVLOP CAPACITY OF JUDGES, CLERKS AND LEGAL RESEARCHERS.","NURTURING OF TRANSFORMATIVE HUMAN RIGHTS JURISDICTION
CAPACITY DEVELOPMENT ON DEVOULTION AND INTERGOVERNMENTAL DISPUTE RESOLUTION
JUDICIAL EXCHANGE AND VISITING PROGRAMME",060700 - Constitutional Reforms,Unspecified,Unspecified,1261 - The Judiciary,Planned,"Governance, Justice, Law and Order (GJLOS)",0
2013/054557,Unspecified,,,,,,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2013/054557,Unspecified,,,,,,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/054667,Unspecified,,,,,,6666667,10000000,07/02/2012 12:00:00 AM,09/25/2013 12:00:00 AM,01/10/2013 12:00:00 AM,03/31/2016 12:00:00 AM,,30 months 6 days,30 months,Sondu- Homabay- Ndhiwa- Awendo Electrification Project,"100km 132kV single circuit transmission line, 1x23MVA substation at Homa Bay",Increase access and connectivity through improvement of transmission and distribution network,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum; 115 - MOE&P - Kenya Electricity Transmission Company Limited (KETRACO),Pipelined,"Energy, Infrastructure and ICT",10.6
